Messung,Latenz_tz, Latenz_ns
0, 71, 23.67
1, 66, 22.00
2, 69, 23.00
3, 99, 33.00
4, 100, 33.33
5, 98, 32.67
6, 104, 34.67
7, 103, 34.33
8, 97, 32.33
9, 87, 29.00
10, 90, 30.00
11, 88, 29.33
12, 85, 28.33
13, 85, 28.33
14, 81, 27.00
15, 81, 27.00
16, 81, 27.00
17, 83, 27.67
18, 81, 27.00
19, 83, 27.67
20, 83, 27.67
21, 83, 27.67
22, 81, 27.00
23, 91, 30.33
24, 83, 27.67
25, 83, 27.67
26, 81, 27.00
27, 81, 27.00
28, 87, 29.00
29, 87, 29.00
30, 85, 28.33
31, 83, 27.67
32, 82, 27.33
33, 86, 28.67
34, 86, 28.67
35, 86, 28.67
36, 84, 28.00
37, 82, 27.33
38, 84, 28.00
39, 82, 27.33
40, 86, 28.67
41, 81, 27.00
42, 81, 27.00
43, 79, 26.33
44, 81, 27.00
45, 81, 27.00
46, 87, 29.00
47, 81, 27.00
48, 83, 27.67
49, 85, 28.33
50, 85, 28.33
51, 81, 27.00
52, 81, 27.00
53, 81, 27.00
54, 83, 27.67
55, 85, 28.33
56, 83, 27.67
57, 82, 27.33
58, 86, 28.67
59, 139, 46.33
60, 84, 28.00
61, 86, 28.67
62, 81, 27.00
63, 81, 27.00
64, 87, 29.00
65, 89, 29.67
66, 85, 28.33
67, 81, 27.00
68, 83, 27.67
69, 83, 27.67
70, 83, 27.67
71, 85, 28.33
72, 87, 29.00
73, 81, 27.00
74, 81, 27.00
75, 83, 27.67
76, 85, 28.33
77, 83, 27.67
78, 81, 27.00
79, 88, 29.33
80, 84, 28.00
81, 84, 28.00
82, 82, 27.33
83, 84, 28.00
84, 82, 27.33
85, 80, 26.67
86, 86, 28.67
87, 81, 27.00
88, 81, 27.00
89, 87, 29.00
90, 89, 29.67
91, 87, 29.00
92, 87, 29.00
93, 81, 27.00
94, 83, 27.67
95, 83, 27.67
96, 85, 28.33
97, 81, 27.00
98, 81, 27.00
99, 81, 27.00
100, 83, 27.67
101, 85, 28.33
102, 83, 27.67
103, 82, 27.33
104, 86, 28.67
105, 86, 28.67
106, 78, 26.00
107, 82, 27.33
108, 84, 28.00
109, 84, 28.00
110, 86, 28.67
111, 81, 27.00
112, 85, 28.33
113, 87, 29.00
114, 83, 27.67
115, 83, 27.67
116, 81, 27.00
117, 83, 27.67
118, 85, 28.33
119, 85, 28.33
120, 85, 28.33
121, 81, 27.00
122, 81, 27.00
123, 87, 29.00
124, 85, 28.33
125, 83, 27.67
126, 81, 27.00
127, 88, 29.33
128, 84, 28.00
129, 82, 27.33
130, 84, 28.00
131, 82, 27.33
132, 80, 26.67
133, 86, 28.67
134, 85, 28.33
135, 85, 28.33
136, 81, 27.00
137, 81, 27.00
